budget,revenue,runtime,has_budget,director_missing,release_year,is_weekend,month_sin,month_cos,genre_action,genre_adventure,genre_animation,genre_biography,genre_comedy,genre_crime,genre_documentary,genre_drama,genre_family,genre_fantasy,genre_history,genre_horror,genre_music,genre_musical,genre_mystery,genre_news,genre_romance,genre_science_fiction,genre_sport,genre_tv_movie,genre_thriller,genre_war,genre_western,director_encoded
5095.0,301388.0,108.0,0,0,2021,0,-0.8660254037844386,0.5000000000000001,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,11.202161930279233
100.0,150.0,15.5,0,0,2022,1,1.2246467991473532e-16,-1.0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.511354909248029
45351644.00004891,786528.0,90.0,1,0,2021,0,-0.8660254037844384,-0.5000000000000004,0,0,1,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,11.28936445799389
110000000.0,69486523.0,133.0,0,0,2025,1,-0.5000000000000004,0.8660254037844384,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,12.49064599459992
45351644.000115015,6361.0,98.0,1,0,2020,1,-0.8660254037844386,0.5000000000000001,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.818539657659066
41598.0,41598.0,92.0,0,0,2021,1,1.0,6.123233995736766e-17,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,11.022132324764753
457760.0,457760.0,82.0,0,0,2025,0,-0.8660254037844386,0.5000000000000001,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,11.240156968885982
55000000.0,6531841.0,101.0,0,0,2025,0,1.0,6.123233995736766e-17,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,11.48180215537122
10000.0,10000.0,15.5,0,0,2023,0,0.49999999999999994,-0.8660254037844387,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.892551321080902
30210.0,30210.0,93.0,0,0,2025,1,-2.4492935982947064e-16,1.0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11.353845049251728
10.0,100.0,15.5,0,0,2025,0,0.49999999999999994,0.8660254037844387,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,9.531688905007048
200000000.0,14400000.0,138.0,0,0,2021,1,-0.4999999999999998,-0.8660254037844388,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11.553669363536734
2000000.0,429678.0,98.0,0,0,2024,1,1.0,6.123233995736766e-17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,11.234401623834245
5.0,200.0,17.0,0,0,2024,1,1.2246467991473532e-16,-1.0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,10.537357188452043
1016707.0,1016707.0,77.0,0,0,2023,0,-2.4492935982947064e-16,1.0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,11.312700425430926
600000.0,1997639.0,96.0,0,0,2023,0,-0.8660254037844386,0.5000000000000001,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11.625955376624427
113685.0,113685.0,87.0,0,0,2025,0,-1.0,-1.8369701987210297e-16,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,11.113529064184014
66526.0,66526.0,105.0,0,0,2023,0,0.49999999999999994,0.8660254037844387,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,11.195825633822414
1648463.0,1648463.0,82.0,0,0,2023,1,1.0,6.123233995736766e-17,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,11.356634424375844
2500000.0,30988.0,93.0,0,0,2023,1,0.49999999999999994,0.8660254037844387,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,11.077503619218826
1.0,1.0,163.5,0,1,2022,1,-0.8660254037844384,-0.5000000000000004,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.351393205362717
755935.0,1515905.0,120.0,0,0,2025,1,0.8660254037844387,-0.49999999999999983,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,11.70485291728638
206037.0,206037.0,79.0,0,0,2023,1,0.8660254037844387,-0.49999999999999983,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,11.167585460153889
3800038.0,3898742.0,104.0,0,0,2024,1,0.49999999999999994,-0.8660254037844387,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11.434889901488061
300.0,300.0,15.5,0,0,2025,1,0.8660254037844387,-0.49999999999999983,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,10.574066766332935
100.0,1000000.0,19.0,0,0,2023,0,-0.8660254037844386,0.5000000000000001,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,11.311194156625199
2108907.0,8667850.0,91.0,0,0,2025,1,0.49999999999999994,-0.8660254037844387,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11.507523237885538
150000000.0,117449790.0,123.0,0,0,2023,0,-0.4999999999999998,-0.8660254037844388,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11.744467786772761
1.0,1.0,15.5,0,0,2021,0,-0.8660254037844386,0.5000000000000001,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.604890671180875
68643.0,68643.0,92.0,0,0,2021,1,-0.4999999999999998,-0.8660254037844388,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11.067664833857782
45351644.00029693,8334.0,120.0,1,0,2021,1,-0.8660254037844384,-0.5000000000000004,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.8759857236453
